right,left
"[-1.5707963705062866, 1.2295536550208549e-20, 2.890141191382219e-21, -8.600855264481421e-18, 1.173083763280093e-19, -2.1887128697801045e-18, -2.7581615810496255e-18, 1.100952192148791e-19, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[1.5707963705062866, 1.513516600595283e-20, -1.1821336684810486e-20, 5.35304804893894e-18, 9.089210497218693e-20, 4.569466472112358e-18, 4.771433165219989e-19, 4.768276501830819e-20, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]"
"[-1.5707963705062866, 1.2295536550208549e-20, 2.890141191382219e-21, -8.600855264481421e-18, 1.173083763280093e-19, -2.1887128697801045e-18, -2.7581615810496255e-18, 1.100952192148791e-19, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[1.5707963705062866, 1.513516600595283e-20, -1.1821336684810486e-20, 5.35304804893894e-18, 9.089210497218693e-20, 4.569466472112358e-18, 4.771433165219989e-19, 4.768276501830819e-20, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]"
"[-1.5707963705062866, 1.2295536550208549e-20, 2.890141191382219e-21, -8.600855264481421e-18, 1.173083763280093e-19, -2.1887128697801045e-18, -2.7581615810496255e-18, 1.100952192148791e-19, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[1.5707963705062866, 1.513516600595283e-20, -1.1821336684810486e-20, 5.35304804893894e-18, 9.089210497218693e-20, 4.569466472112358e-18, 4.771433165219989e-19, 4.768276501830819e-20, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]"
"[-1.5707963705062866, 1.2295536550208549e-20, 2.890141191382219e-21, -8.600855264481421e-18, 1.173083763280093e-19, -2.1887128697801045e-18, -2.7581615810496255e-18, 1.100952192148791e-19, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[1.5707963705062866, 1.513516600595283e-20, -1.1821336684810486e-20, 5.35304804893894e-18, 9.089210497218693e-20, 4.569466472112358e-18, 4.771433165219989e-19, 4.768276501830819e-20, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]"
"[-1.5707963705062866, 1.2295536550208549e-20, 2.890141191382219e-21, -8.600855264481421e-18, 1.173083763280093e-19, -2.1887128697801045e-18, -2.7581615810496255e-18, 1.100952192148791e-19, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[1.5707963705062866, 1.513516600595283e-20, -1.1821336684810486e-20, 5.35304804893894e-18, 9.089210497218693e-20, 4.569466472112358e-18, 4.771433165219989e-19, 4.768276501830819e-20, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]"
"[-1.5707963705062866, 1.2295536550208549e-20, 2.890141191382219e-21, -8.600855264481421e-18, 1.173083763280093e-19, -2.1887128697801045e-18, -2.7581615810496255e-18, 1.100952192148791e-19, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[1.5707963705062866, 1.513516600595283e-20, -1.1821336684810486e-20, 5.35304804893894e-18, 9.089210497218693e-20, 4.569466472112358e-18, 4.771433165219989e-19, 4.768276501830819e-20, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]"
